id,name,state,zip,website
1,ADVENTHEALTH UNIVERSITY,FL,32803,www.ahu.edu/
2,FLORIDA CAREER COLLEGE-BOYNTON BEACH,FL,33426,https://www.floridacareercollege.edu/
3,TREND BARBER COLLEGE,TX,77090,trendbarbercollege.com/
4,STRAYER UNIVERSITY-PENNSYLVANIA,PA,19053,https://www.strayer.edu/campus-locations/pennsylvania/lower-bucks-county
5,JOLIE HEALTH & BEAUTY ACADEMY-CHERRY HILL,NJ,08003,jolieacademy.com/
6,SAN FRANCISCO FILM SCHOOL,CA,94104,www.filmschoolsf.com/
7,REND LAKE COLLEGE,IL,62846,www.rlc.edu/
8,WAUBONSEE COMMUNITY COLLEGE,IL,60554,https://www.waubonsee.edu/
9,MIAMI UNIVERSITY-MIDDLETOWN,OH,45042,miamioh.edu/regionals/
10,CENTRAL YESHIVA BETH JOSEPH,NY,11230,https://centralyeshivabethjoseph.com/
11,WESTERN TECHNICAL COLLEGE,TX,79924,www.westerntech.edu/
12,TULSA TECHNOLOGY CENTER,OK,74145,https://tulsatech.edu/
13,CHAMBERLAIN UNIVERSITY-OHIO,OH,43209,https://www.chamberlain.edu/
14,UNITED THEOLOGICAL SEMINARY,OH,45426,www.united.edu/
15,HOLY FAMILY COLLEGE,WI,54220,NOT AVAILABLE
16,BUENA VISTA UNIVERSITY,IA,50588,https://www.bvu.edu/
17,ACADEMY OF ART UNIVERSITY,CA,94105,www.academyart.edu/
18,EVANGELICAL THEOLOGICAL SEMINARY,PA,17067,www.evangelical.edu/
19,MICHIGAN STATE UNIVERSITY,MI,48824,https://www.msu.edu/
20,KING'S COLLEGE,PA,18711,www.kings.edu/
21,THE UNIVERSITY OF THE SOUTH,TN,37383,www.sewanee.edu/
22,CEDAR VALLEY COLLEGE,TX,75134,NOT AVAILABLE
23,CENTRAL TEXAS COLLEGE,TX,76549,www.ctcd.edu/
24,ANTELOPE VALLEY COLLEGE,CA,93536,www.avc.edu/
25,LONG BEACH CITY COLLEGE,CA,90808,www.lbcc.edu/
26,AVALON SCHOOL OF COSMETOLOGY-LAYTON,UT,84041,avalon.edu/locations/layton-ut/
27,ALASKA VOCATIONAL TECHNICAL CENTER,AK,99664,www.avtec.edu/
28,SALINA AREA TECHNICAL COLLEGE,KS,67401,www.salinatech.edu/
29,BELLUS ACADEMY,KS,66502,www.bellusacademy.edu/
30,PENNSYLVANIA STATE UNIVERSITY-WORLD CAMPUS,PA,16802,worldcampus.psu.edu/
31,SOUTHEASTERN BAPTIST THEOLOGICAL SEMINARY,NC,27587,www.sebts.edu/
32,SHENANDOAH UNIVERSITY,VA,22601,www.su.edu/
33,MIAMI UNIVERSITY-OXFORD,OH,45056,miamioh.edu/
34,THE HAIR ACADEMY LLC,TN,37334,https://www.thehairacademy.net/
35,UNIVERSITY OF HOUSTON,TX,77204,www.uh.edu/
36,RIPON COLLEGE,WI,54971,www.ripon.edu/
37,UNIVERSITY OF SOUTH CAROLINA-SUMTER,SC,29150,www.sc.edu/about/system_and_campuses/sumter/index.php
38,WARREN COUNTY CAREER CENTER,OH,45036,www.mywccc.org/
39,PARISIAN SPA INSTITUTE,FL,32204,psijax.edu/
40,TARRANT COUNTY COLLEGE DISTRICT,TX,76102,www.tccd.edu/
41,PAUL MITCHELL THE SCHOOL-MERRILLVILLE,IN,46410,paulmitchell.edu/merrillville
42,CASTLETON UNIVERSITY,VT,05735,www.castleton.edu/
43,WARNER UNIVERSITY,FL,33859,www.warner.edu/academics/undergraduate_programs/admissions/criteria-for-admission/
44,LABOURE COLLEGE,MA,02186,www.laboure.edu/about-labour-
45,FLORIDA POLYTECHNIC UNIVERSITY,FL,33805,floridapoly.edu/
46,ROSS COLLEGE-SYLVANIA,OH,43560,www.rosseducation.edu/
47,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,72342,www.pccua.edu/
48,UNITED STATES MERCHANT MARINE ACADEMY,NY,11024,https://www.usmma.edu/
49,GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT,CA,92020,www.gcccd.edu/
50,SOUTHEASTERN ILLINOIS COLLEGE,IL,62946,www.sic.edu/
51,KENNETH SHULER SCHOOL OF COSMETOLOGY-COLUMBIA,SC,29209,www.kennethshuler.com/
52,HOMESTEAD SCHOOLS,CA,90505,www.homesteadschools.net/
53,OUR LADY OF THE LAKE UNIVERSITY,TX,78207,https://www.ollusa.edu/
54,LAKELAND UNIVERSITY,WI,53073,www.lakeland.edu/
55,CENTURA COLLEGE-NEWPORT NEWS,VA,23608,https://www.centuracollege.edu/campuses/newport-news/
56,UNION COLLEGE,NE,68506,https://www.ucollege.edu/
57,AVEDA ARTS & SCIENCES INSTITUTE-SAN ANTONIO,TX,78259,https://avedaarts.edu/
58,ADVANCED WELDING INSTITUTE,VT,05403,www.awi.edu/
59,INDIANA INSTITUTE OF TECHNOLOGY,IN,46803,www.indianatech.edu/
60,AMERICAN SAMOA COMMUNITY COLLEGE,AS,96799,www.amsamoa.edu/
61,ARIZONA STATE UNIVERSITY-WEST,AZ,85306,www.asu.edu/
62,HERITAGE BIBLE COLLEGE,NC,28334,www.heritagebiblecollege.edu/
63,PAUL MITCHELL THE SCHOOL-FAYETTEVILLE,NC,28303,paulmitchell.edu/fayetteville
64,COLEGIO UNIVERSITARIO DE SAN JUAN,PR,00918,www.cunisanjuan.edu/
65,PLATT COLLEGE-SAN DIEGO,CA,92115,www.platt.edu/
66,YORK COUNTY SCHOOL OF TECHNOLOGY-ADULT & CONTINUING EDUCATION,PA,17402,www.ytech.edu/
67,HDS TRUCK DRIVING INSTITUTE,AZ,85756,www.hdstruckdrivinginstitute.com/
68,AMBRIA COLLEGE OF NURSING,IL,60192,ambria.edu/
69,KEUKA COLLEGE,NY,14478,https://www.keuka.edu/
70,CENTER FOR MASSAGE,NC,28801,centerformassage.com/
71,SOUTH UNIVERSITY-MONTGOMERY,AL,36116,"www.southuniversity.edu/montgomery#location=Montgomery, AL"
72,LINCOLN UNIVERSITY,CA,94612,www.lincolnuca.edu/
73,HENDRIX COLLEGE,AR,72032,www.hendrix.edu/
74,COVENANT COLLEGE,GA,30750,www.covenant.edu/
75,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,WA,98195,www.washington.edu/
76,SAN JOAQUIN VALLEY COLLEGE-ONTARIO,CA,91764,sjvc.edu/
77,TOHONO O'ODHAM COMMUNITY COLLEGE,AZ,85634,www.tocc.edu/
78,AMERITECH COLLEGE-DRAPER,UT,84020,www.ameritech.edu/
79,RICE UNIVERSITY,TX,77005,www.rice.edu/
80,UNIVERSITY OF NOTRE DAME,IN,46556,www.nd.edu/
81,WAYLAND BAPTIST UNIVERSITY,TX,79072,www.wbu.edu/
82,UNIVERSITY OF VIRGINIA-MAIN CAMPUS,VA,22903,https://www.virginia.edu/
83,KIAMICHI TECHNOLOGY CENTER-MCALESTER,OK,74501,www.ktc.edu/
84,UNIVERSITY OF PHOENIX-UTAH,UT,84123,https://www.phoenix.edu/
85,INTERNATIONAL TECHNOLOGICAL UNIVERSITY,CA,95054,https://www.itu.edu/
86,ROBERT MORRIS UNIVERSITY ILLINOIS,IL,60605,https://robertmorris.edu/
87,NEW HOPE CHRISTIAN COLLEGE-EUGENE,OR,97405,www.newhope.edu/
88,CLARKS SUMMIT UNIVERSITY,PA,18411,https://www.clarkssummitu.edu/
89,LINFIELD UNIVERSITY-ONLINE AND CONTINUING EDUCATION,OR,97128,https://www.linfield.edu/academics/oce/index.html
90,MARYMOUNT MANHATTAN COLLEGE,NY,10021,www.mmm.edu/
91,CRISWELL COLLEGE,TX,75246,www.criswell.edu/
92,PC AGE-METROPARK,NJ,08830,www.pcage.edu/
93,PALM BEACH ACADEMY OF HEALTH & BEAUTY,FL,33403,www.pbacademy.net/
94,REMINGTON COLLEGE-SHREVEPORT CAMPUS,LA,71101,www.remingtoncollege.edu/shreveport-career-school-overview
95,INSTITUTE FOR BUSINESS AND TECHNOLOGY,CA,95051,https://ibt.edu/
96,FLORIDA SCHOOL OF MASSAGE,FL,32608,floridaschoolofmassage.com/
97,DORSEY SCHOOL OF BUSINESS-MADISON HEIGHTS,MI,48071,www.dorsey.edu/
98,RESEARCH COLLEGE OF NURSING,MO,64132,researchcollege.edu/
99,ST JOHN'S SEMINARY,CA,93012,www.stjohnsem.edu
100,COLLEGE OF COURT REPORTING INC,IN,46385,www.ccr.edu/
101,ROWAN COLLEGE OF SOUTH JERSEY GLOUCESTER CAMPUS,NJ,08080,www.rcsj.edu/
102,SALEM COMMUNITY COLLEGE,NJ,08069,www.salemcc.edu/
103,CAPRI INSTITUTE OF HAIR DESIGN-KENILWORTH,NJ,07033,www.capriinstitute.com/
104,RECONSTRUCTIONIST RABBINICAL COLLEGE,PA,19095,www.rrc.edu/
105,FIVE TOWNS COLLEGE,NY,11746,www.ftc.edu/
106,UNITECH TRAINING ACADEMY-BATON ROUGE,LA,70816,www.unitechtrainingacademy.com/
107,INSTITUTE OF MEDICAL ULTRASOUND,GA,30303,www.imu.edu/
108,PRO BEAUTY ACADEMY,NJ,08820,www.probeautyacademy.com/
109,COLUMBIA COLLEGE - SPRINGFIELD TMOBILE,MO,65803,NOT AVAILABLE
110,TOTAL BEAUTY INSTITUTE,FL,32208,www.totalbeautyinstitute.com/
111,PREMIERE AESTHETICS INSTITUTE,OR,97702,www.premiereaestheticsinstitute.com/
112,PAUL MITCHELL THE SCHOOL-RENO-NORTH TAHOE,CA,96161,https://paulmitchell.edu/northtahoe
113,NATIONAL UNIVERSITY COLLEGE - PEMBROKE PINES,FL,33027,NOT AVAILABLE
114,NUC UNIVERSITY - IBC INSTITUTE - MAYAG?EZ,PR,00680,NOT AVAILABLE
115,SAN JOAQUIN VALLEY COLLEGE-RANCHO MIRAGE,CA,92270,https://www.sjvc.edu/
116,SAN JACINTO COMMUNITY COLLEGE DISTRICT - GENERATION PARK CAMPUS,TX,77044,NOT AVAILABLE
117,PLATT COLLEGE-MILLER-MOTTE COLLEGE-CHATTANOOGA 2,TN,37406,https://www.miller-motte.edu/
118,TECHSHERPAS 365,FL,33625,https://techsherpas.com/
119,PPG TECHNICAL COLLEGE,PR,00726,www.ppg.edu/
120,UNITECH TRAINING ACADEMY-ALEXANDRIA,LA,71301,www.unitechtrainingacademy.com/
121,FLORIDA INTERNATIONAL TRAINING INSTITUTE,FL,33122,www.fitischools.com/
122,CALIFORNIA BARBER AND BEAUTY COLLEGE,CA,92115,https://www.californiabarberandbeauty.com/
123,RIO SALADO COLLEGE,AZ,85281,www.rio.maricopa.edu/
124,CAROLINA UNIVERSITY,NC,27101,https://www.carolinau.edu/
125,KENNY'S ACADEMY OF BARBERING,IN,46222,kennysacademy.com/
126,PRINCETON UNIVERSITY,NJ,08544,www.princeton.edu/
127,THE BEAUTY INSTITUTE,PA,18109,https://www.thebeautyinstituteskp.edu/
128,TRI-COUNTY COMMUNITY COLLEGE,NC,28906,www.tricountycc.edu/
129,WESTERN PIEDMONT COMMUNITY COLLEGE,NC,28655,https://www.wpcc.edu/
130,AUBURN CAREER CENTER,OH,44077,www.auburncc.org/
131,SOUTHERN CAREERS INSTITUTE-BROWNSVILLE,TX,78520,www.scitexas.edu/
132,LUBBOCK CHRISTIAN UNIVERSITY,TX,79407,https://www.lcu.edu/
133,BOSSIER PARISH COMMUNITY COLLEGE,LA,71111,www.bpcc.edu/
134,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,MA,02116,www.bfit.edu/
135,SOUTHWEST TENNESSEE COMMUNITY COLLEGE,TN,38103,www.southwest.tn.edu/
136,LINCOLN COLLEGE OF TECHNOLOGY-GRAND PRAIRIE,TX,75052,www.lincolntech.edu/campus/grand-prairie-tx
137,PAUL MITCHELL THE SCHOOL-SAN ANTONIO,TX,78259,paulmitchell.edu/sanantonio
138,COLUMBIANA COUNTY CAREER AND TECHNICAL CENTER,OH,44432,www.ccctc.k12.oh.us/
139,EMPIRE BEAUTY SCHOOL-VIRGINIA BEACH,VA,23462,www.empire.edu/
140,CANTON CITY SCHOOLS ADULT CAREER AND TECHNICAL EDUCATION,OH,44710,https://www.ccsdistrict.org/site/default.aspx?PageID=189
141,CAMERON UNIVERSITY,OK,73505,https://www.cameron.edu/
142,TENNESSEE TECHNOLOGICAL UNIVERSITY,TN,38505,www.tntech.edu/
143,BAYLOR UNIVERSITY,TX,76798,www.baylor.edu/
144,WEST TEXAS A & M UNIVERSITY,TX,79016,www.wtamu.edu/
145,OHIO UNIVERSITY-CHILLICOTHE CAMPUS,OH,45601,https://www.ohio.edu/chillicothe/
146,MERCYHURST UNIVERSITY,PA,16546,www.mercyhurst.edu/
147,CHISHOLM TRAIL TECHNOLOGY CENTER,OK,73764,www.cttc.edu/
148,UNIVERSITY OF PHOENIX-ARIZONA,AZ,85040,https://www.phoenix.edu/
149,UNIVERSITY OF PHOENIX-VIRGINIA,VA,23462,https://www.phoenix.edu
150,CALIFORNIA LUTHERAN UNIVERSITY,CA,91360,www.callutheran.edu/
151,THE CATHOLIC UNIVERSITY OF AMERICA,DC,20064,https://www.catholic.edu/
152,CARRINGTON COLLEGE-BOISE,ID,83704,https://carrington.edu/
153,ILLINOIS VALLEY COMMUNITY COLLEGE,IL,61348,https://www.ivcc.edu/
154,ARTISTIC ACADEMY OF HAIR DESIGN,NJ,07950,www.artisticacademy.com/
155,WILKES-BARRE AREA CAREER AND TECHNICAL CENTER PRACTICAL NURSING,PA,18705,https://www.wbpracnsg.com/
156,LORENZO WALKER TECHNICAL COLLEGE,FL,34104,lwtc.edu/
157,UNIVERSITY OF EVANSVILLE,IN,47722,www.evansville.edu/
158,ALMA COLLEGE,MI,48801,alma.edu/
159,UNIVERSITY SYSTEM OF MARYLAND,MD,21201,www.usmd.edu/
160,MCPHS UNIVERSITY,MA,02115,www.mcphs.edu/
161,BETHEL UNIVERSITY,MN,55112,https://www.bethel.edu/
162,PAUL MITCHELL THE SCHOOL-MISSOURI COLUMBIA,MO,65203,missouricolumbia.paulmitchell.edu/
163,CHESTER COUNTY INTERMEDIATE UNIT,PA,19335,www.chestercountynursing.org/
164,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,NC,28223,https://www.uncc.edu/
165,EVANS HAIRSTYLING COLLEGE-REXBURG,ID,83440,www.evanshairstylingcollege.com/
166,SAN JOAQUIN VALLEY COLLEGE-HESPERIA,CA,92344,www.sjvc.edu/
167,EDUCATIONAL TECHNICAL COLLEGE-RECINTO DE BAYAMON,PR,00961,www.edutecpr.com/
168,CORTIVA INSTITUTE-MAITLAND,FL,32751,www.cortiva.edu/
169,WALDEN UNIVERSITY,MN,55401,www.waldenu.edu/
170,ASSOCIATED BETH RIVKAH SCHOOLS,NY,11225,https://dhl.bethrivkah.edu/
171,CONCORDE CAREER COLLEGE-MEMPHIS,TN,38137,https://www.concorde.edu/campus/memphis-tennessee
172,CHATFIELD COLLEGE,OH,45118,www.chatfield.edu/
173,OHIO BUSINESS COLLEGE-SHEFFIELD,OH,44035,www.ohiobusinesscollege.edu/
174,SUMTER BEAUTY COLLEGE,SC,29150,www.sumterbeautycollege.com/
175,LOVE BEAUTY SCHOOL INC,TN,37355,www.lovebeautyschool.net/
176,UNIVERSITY OF HEALTH SCIENCES AND PHARMACY IN ST. LOUIS,MO,63110,www.uhsp.edu/
177,PAUL SMITHS COLLEGE OF ARTS AND SCIENCE,NY,12970,www.paulsmiths.edu/
178,SUNY COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL,NY,12043,www.cobleskill.edu/
179,ALASKA PACIFIC UNIVERSITY,AK,99508,www.alaskapacific.edu/
180,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE RICH MOUNTAIN,AR,71953,www.uarichmountain.edu/
181,D A DORSEY TECHNICAL COLLEGE,FL,33147,dadorsey.dadeschools.net/
182,RIVERSIDE COLLEGE OF HEALTH CAREERS,VA,23601,https://riverside.edu/
183,ROANE STATE COMMUNITY COLLEGE,TN,37748,www.roanestate.edu/
184,STATE CENTER COMMUNITY COLLEGE DISTRICT,CA,93721,www.scccd.edu/
185,CEDAR CREST COLLEGE,PA,18104,www.cedarcrest.edu/
